Produto,Preço,Marca
Losartana Potássica 50mg 30 Comprimidos Medley Genérico,"R$4,89",Medley
Nimesulida 100mg 12 Comprimidos Eurofarma Genérico,"R$4,04",Eurofarma
Cimegripe Cloridrato Fenillefrina 4mg + Paracetamol 400mg + Maleato De Clorfeniramina 4mg 20 Cápsulas,"R$6,69",Cimegripe
Sal De Fruta Eno Tradicional Pó Efervescente 5g 2 Envelopes,"R$12,90",Eno
Sal De Fruta Eno Laranja Pó Efervescente 5g 2 Envelopes,"R$4,99",Eno
Ozempic 1mg Solução Injetável 3ml + 4 Agulhas - Geladeira,"R$4,99",Ozempic
Dapagliflozina 10mg 30 Comprimidos Medley Genérico,"R$999,00",Medley
Doralgina Dipirona Sódica 300mg + Isometepteno 30mg + Cafeína 30mg 20 Comprimidos,"R$127,72",Doralgina
Cloridrato De Venlafaxina 150mg 30 Cápsulas De Liberação Controlada Medley Genérico,"R$18,50",Medley
Buscofem Ibuprofeno 400mg 2 Cápsulas,"R$49,54",Buscofem
Fluconazol 150mg 2 Cápsulas Medley Genérico,"R$6,95",Medley
"Evra 6mg + 0,6mg 3 Adesivos Transdérmicos","R$12,49",Evra
Antialérgico Allegra Pediátrico Cloridrato De Fexofenadina 6mg/Ml Suspensão Oral 60ml Com Seringa,"R$139,89",Allegra
Decongex Plus Maleato De Clorfeniramina 12mg + Cloridrato Fenillefrina 15mg 12 Comprimidos,"R$31,59",Decongex Plus
Laxante Dulcolax 5mg 20 Comprimidos,"R$29,69",Dulcolax
Ritalina Cloridrato De Metilfenidato 10mg 60 Comprimidos,"R$16,89",Ritalina
"Rinosoro Jet 0,9% Descongestionante Spray Jato Contínuo 100ml","R$78,71",Rinosoro
Neosaldina Analgésico 20 Drágeas,"R$40,11",Neosaldina
Advil Ibuprofeno 400mg 3 Cápsulas,"R$27,99",Advil
Pastilha Neopiridin Sabor Menta 12 Unidades,"R$24,12",Neopiridin
Decongex Plus Maleato De Bronfeniramina 2mg/5ml + Cloridrato Fenillefrina 5mg/5ml Xarope 120ml,"R$9,99",Decongex Plus
Sal De Fruta Eno Guaraná Pó Efervescente 5g 2 Envelopes,"R$6,69",Eno
